週,平均價,交易量
2018-12-31/2019-01-06,28.55,39549.0
2019-01-07/2019-01-13,22.72,53975.33
2019-01-14/2019-01-20,24.18,37783.67
2019-01-21/2019-01-27,25.97,46511.33
2019-01-28/2019-02-03,26.87,59157.5
2019-02-04/2019-02-10,21.55,48470.5
2019-02-11/2019-02-17,28.13,35366.33
2019-02-18/2019-02-24,27.56,41437.6
2019-02-25/2019-03-03,22.6,43971.33
2019-03-04/2019-03-10,20.6,40947.33
2019-03-11/2019-03-17,36.9,27323.83
2019-03-18/2019-03-24,38.22,29795.17
2019-03-25/2019-03-31,32.1,38743.83
2019-04-01/2019-04-07,27.72,54915.0
2019-04-08/2019-04-14,26.9,32959.17
2019-04-15/2019-04-21,28.25,30166.0
2019-04-22/2019-04-28,39.65,15487.33
2019-04-29/2019-05-05,44.58,11981.67
2019-05-06/2019-05-12,43.88,11180.67
2019-05-13/2019-05-19,53.62,8755.6
2019-05-20/2019-05-26,40.77,10330.0
2019-05-27/2019-06-02,51.2,7683.83
2019-06-03/2019-06-09,31.08,16003.2
2019-06-10/2019-06-16,29.23,10280.83
2019-06-17/2019-06-23,54.63,4074.17
2019-06-24/2019-06-30,47.95,5764.0
2019-07-01/2019-07-07,53.17,4606.5
2019-07-08/2019-07-14,54.12,4303.17
2019-07-15/2019-07-21,55.05,5753.67
2019-07-22/2019-07-28,50.68,5737.67
2019-07-29/2019-08-04,49.28,7043.33
2019-08-05/2019-08-11,54.15,6313.0
2019-08-12/2019-08-18,37.85,9404.0
2019-08-19/2019-08-25,65.67,2399.0
2019-08-26/2019-09-01,67.73,2738.83
2019-09-02/2019-09-08,78.13,2819.67
2019-09-09/2019-09-15,62.08,4202.6
2019-09-16/2019-09-22,50.25,7057.83
2019-09-23/2019-09-29,49.4,12756.5
2019-09-30/2019-10-06,54.53,11705.5
2019-10-07/2019-10-13,45.33,17029.5
2019-10-14/2019-10-20,46.46,17807.6
2019-10-21/2019-10-27,35.87,33305.83
2019-10-28/2019-11-03,27.55,40484.0
2019-11-04/2019-11-10,42.3,19852.0
2019-11-11/2019-11-17,42.86,26806.4
2019-11-18/2019-11-24,27.95,41444.0
2019-11-25/2019-12-01,22.15,47605.83
2019-12-02/2019-12-08,28.68,37107.83
2019-12-09/2019-12-15,33.92,37035.17
2019-12-16/2019-12-22,19.63,58372.5
2019-12-23/2019-12-29,20.77,38911.67
2019-12-30/2020-01-05,26.28,31808.33
2020-01-06/2020-01-12,27.1,38348.17
2020-01-13/2020-01-19,19.95,53115.67
2020-01-20/2020-01-26,32.17,41782.0
2020-01-27/2020-02-02,40.33,21336.67
2020-02-03/2020-02-09,52.6,19432.8
2020-02-10/2020-02-16,24.2,60695.5
2020-02-17/2020-02-23,24.47,47446.33
2020-02-24/2020-03-01,21.43,47087.5
2020-03-02/2020-03-08,22.1,39513.5
2020-03-09/2020-03-15,20.65,42085.17
2020-03-16/2020-03-22,29.1,30068.33
2020-03-23/2020-03-29,23.52,34297.5
2020-03-30/2020-04-05,25.9,29826.8
2020-04-06/2020-04-12,33.38,25142.33
2020-04-13/2020-04-19,34.98,24419.67
2020-04-20/2020-04-26,24.68,31072.0
2020-04-27/2020-05-03,30.65,22838.17
2020-05-04/2020-05-10,24.48,24177.33
2020-05-11/2020-05-17,20.37,17792.83
2020-05-18/2020-05-24,31.97,7479.33
2020-05-25/2020-05-31,46.57,5068.5
2020-06-01/2020-06-07,55.85,4358.5
2020-06-08/2020-06-14,73.92,2314.5
2020-06-15/2020-06-21,88.98,2512.33
2020-06-22/2020-06-28,45.18,8222.5
2020-06-29/2020-07-05,29.73,7799.17
2020-07-06/2020-07-12,43.38,4751.67
2020-07-13/2020-07-19,43.64,6017.6
2020-07-20/2020-07-26,51.08,3611.67
2020-07-27/2020-08-02,57.67,3831.17
2020-08-03/2020-08-09,51.9,5352.67
2020-08-10/2020-08-16,47.0,6792.2
2020-08-17/2020-08-23,54.02,5691.0
2020-08-24/2020-08-30,48.93,6676.67
2020-08-31/2020-09-06,53.7,8161.25
2020-09-07/2020-09-13,51.15,7059.33
2020-09-14/2020-09-20,46.78,10362.17
2020-09-21/2020-09-27,46.78,12877.8
2020-09-28/2020-10-04,44.48,21771.5
2020-10-05/2020-10-11,54.28,14271.33
2020-10-12/2020-10-18,50.23,17863.0
2020-10-19/2020-10-25,54.75,17185.83
2020-10-26/2020-11-01,47.22,28969.17
2020-11-02/2020-11-08,38.27,37247.83
2020-11-09/2020-11-15,43.62,35057.0
2020-11-16/2020-11-22,43.52,24827.33
2020-11-23/2020-11-29,32.53,36674.33
2020-11-30/2020-12-06,34.17,29513.83
2020-12-07/2020-12-13,39.4,29121.83
2020-12-14/2020-12-20,36.78,33840.67
2020-12-21/2020-12-27,38.0,31457.5
2020-12-28/2021-01-03,49.38,19778.5
2021-01-04/2021-01-10,53.33,20243.67
2021-01-11/2021-01-17,58.68,29223.8
2021-01-18/2021-01-24,29.27,60356.0
2021-01-25/2021-01-31,18.88,52037.83
2021-02-01/2021-02-07,18.1,57055.0
2021-02-08/2021-02-14,17.45,47219.75
2021-02-15/2021-02-21,19.1,39381.75
2021-02-22/2021-02-28,22.72,35104.6
2021-03-01/2021-03-07,24.53,26043.17
2021-03-08/2021-03-14,18.08,42857.67
2021-03-15/2021-03-21,19.15,33712.0
2021-03-22/2021-03-28,22.56,33791.2
2021-03-29/2021-04-04,14.7,43949.8
2021-04-05/2021-04-11,28.72,17794.67
2021-04-12/2021-04-18,31.15,20862.83
2021-04-19/2021-04-25,25.07,22149.33
2021-04-26/2021-05-02,24.02,21441.0
2021-05-03/2021-05-09,33.43,14009.5
2021-05-10/2021-05-16,35.55,10673.5
2021-05-17/2021-05-23,33.5,8298.5
2021-05-24/2021-05-30,48.33,4371.0
2021-05-31/2021-06-06,53.36,5381.4
2021-06-07/2021-06-13,79.42,2807.67
2021-06-14/2021-06-20,93.16,1971.6
2021-06-21/2021-06-27,96.68,1476.5
2021-06-28/2021-07-04,115.88,1236.17
2021-07-05/2021-07-11,57.32,3219.17
2021-07-12/2021-07-18,44.1,6345.0
2021-07-19/2021-07-25,53.6,4860.83
2021-07-26/2021-08-01,44.98,6149.0
2021-08-02/2021-08-08,50.87,4624.17
2021-08-09/2021-08-15,82.92,753.83
2021-08-16/2021-08-22,133.1,1182.0
2021-08-23/2021-08-29,65.44,3908.2
2021-08-30/2021-09-05,69.6,3749.83
2021-09-06/2021-09-12,59.45,7074.83
2021-09-13/2021-09-19,57.12,6376.4
2021-09-20/2021-09-26,68.48,4139.4
2021-09-27/2021-10-03,60.32,5753.5
2021-10-04/2021-10-10,49.65,9611.83
2021-10-11/2021-10-17,41.7,16509.0
2021-10-18/2021-10-24,50.78,13705.33
2021-10-25/2021-10-31,60.2,15201.33
2021-11-01/2021-11-07,55.42,19093.17
2021-11-08/2021-11-14,45.5,27587.6
2021-11-15/2021-11-21,40.97,28008.83
2021-11-22/2021-11-28,26.62,39162.5
2021-11-29/2021-12-05,30.02,37160.83
2021-12-06/2021-12-12,33.78,41141.6
2021-12-13/2021-12-19,26.17,41955.67
2021-12-20/2021-12-26,21.52,40641.83
2021-12-27/2022-01-02,31.08,25991.0
2022-01-03/2022-01-09,37.97,23019.5
2022-01-10/2022-01-16,34.0,35641.2
2022-01-17/2022-01-23,22.53,36987.83
2022-01-24/2022-01-30,38.93,28439.5
2022-01-31/2022-02-06,39.35,25383.5
2022-02-07/2022-02-13,43.6,28189.4
2022-02-14/2022-02-20,38.62,31671.8
2022-02-21/2022-02-27,46.8,21174.33
2022-02-28/2022-03-06,35.57,33442.5
2022-03-07/2022-03-13,42.42,28297.4
2022-03-14/2022-03-20,28.63,42635.67
2022-03-21/2022-03-27,31.42,25107.0
2022-03-28/2022-04-03,46.0,18404.67
2022-04-04/2022-04-10,59.48,18381.8
2022-04-11/2022-04-17,48.45,18356.33
2022-04-18/2022-04-24,50.0,14736.83
2022-04-25/2022-05-01,41.63,14382.33
2022-05-02/2022-05-08,33.32,20400.17
2022-05-09/2022-05-15,42.88,9648.17
2022-05-16/2022-05-22,74.46,4685.2
2022-05-23/2022-05-29,44.13,9562.67
2022-05-30/2022-06-05,69.52,5827.2
2022-06-06/2022-06-12,40.2,7091.5
2022-06-13/2022-06-19,66.12,3630.83
2022-06-20/2022-06-26,85.92,2192.17
2022-06-27/2022-07-03,92.0,2039.5
2022-07-04/2022-07-10,101.85,1665.17
2022-07-11/2022-07-17,80.55,2504.33
2022-07-18/2022-07-24,64.6,3742.4
2022-07-25/2022-07-31,61.45,3379.83
2022-08-01/2022-08-07,50.08,5957.83
2022-08-08/2022-08-14,68.13,4491.67
2022-08-15/2022-08-21,75.28,3691.4
2022-08-22/2022-08-28,70.58,4427.4
2022-08-29/2022-09-04,67.97,4191.83
2022-09-05/2022-09-11,53.72,7341.67
2022-09-12/2022-09-18,58.04,9764.4
2022-09-19/2022-09-25,63.9,12721.0
2022-09-26/2022-10-02,56.67,13869.33
2022-10-03/2022-10-09,48.4,20273.0
2022-10-10/2022-10-16,46.47,20439.0
2022-10-17/2022-10-23,60.36,18103.0
2022-10-24/2022-10-30,54.75,20856.0
2022-10-31/2022-11-06,45.85,25976.17
2022-11-07/2022-11-13,45.97,21414.67
2022-11-14/2022-11-20,31.56,37593.4
2022-11-21/2022-11-27,30.82,26777.5
2022-11-28/2022-12-04,43.55,21578.5
2022-12-05/2022-12-11,53.07,18951.17
2022-12-12/2022-12-18,61.82,21549.0
2022-12-19/2022-12-25,70.85,16476.0
2022-12-26/2023-01-01,61.25,21486.0
2023-01-02/2023-01-08,48.62,26890.33
2023-01-09/2023-01-15,36.38,34110.33
2023-01-16/2023-01-22,31.7,54160.0
2023-01-23/2023-01-29,21.23,49366.67
2023-01-30/2023-02-05,31.3,36210.5
2023-02-06/2023-02-12,23.28,46829.6
2023-02-13/2023-02-19,30.85,27457.67
2023-02-20/2023-02-26,33.32,27114.67
2023-02-27/2023-03-05,30.23,35728.33
2023-03-06/2023-03-12,23.82,40733.83
2023-03-13/2023-03-19,26.92,35541.8
2023-03-20/2023-03-26,22.98,29752.33
2023-03-27/2023-04-02,20.23,33978.17
2023-04-03/2023-04-09,25.14,27523.4
2023-04-10/2023-04-16,32.35,19222.67
2023-04-17/2023-04-23,38.03,12800.5
2023-04-24/2023-04-30,41.82,13726.4
2023-05-01/2023-05-07,38.77,11848.67
2023-05-08/2023-05-14,38.22,10393.0
2023-05-15/2023-05-21,45.93,7768.5
2023-05-22/2023-05-28,58.84,7694.0
2023-05-29/2023-06-04,39.73,8957.17
2023-06-05/2023-06-11,45.03,6201.17
2023-06-12/2023-06-18,37.07,7168.0
2023-06-19/2023-06-25,92.46,2715.4
2023-06-26/2023-07-02,69.98,3019.2
2023-07-03/2023-07-09,78.0,2714.17
2023-07-10/2023-07-16,70.88,2978.67
2023-07-17/2023-07-23,52.48,5770.4
2023-07-24/2023-07-30,57.5,4367.83
2023-07-31/2023-08-06,67.7,2838.17
2023-08-07/2023-08-13,78.42,2693.83
2023-08-14/2023-08-20,77.38,3101.67
2023-08-21/2023-08-27,76.37,3257.0
2023-08-28/2023-09-03,67.8,7195.0
2023-09-04/2023-09-10,52.88,7000.6
2023-09-11/2023-09-17,84.2,2931.0
2023-09-18/2023-09-24,89.93,3345.33
2023-09-25/2023-10-01,80.02,4312.6
2023-10-02/2023-10-08,58.52,7589.5
2023-10-09/2023-10-15,53.93,11281.5
2023-10-16/2023-10-22,62.32,14877.6
2023-10-23/2023-10-29,62.02,11797.83
2023-10-30/2023-11-05,63.1,12079.67
2023-11-06/2023-11-12,48.12,21793.5
2023-11-13/2023-11-19,35.96,37146.8
2023-11-20/2023-11-26,39.93,28850.5
2023-11-27/2023-12-03,43.72,20782.83
2023-12-04/2023-12-10,46.34,25003.2
2023-12-11/2023-12-17,29.63,33634.83
2023-12-18/2023-12-24,29.23,30626.5
2023-12-25/2023-12-31,26.93,36895.17
2024-01-01/2024-01-07,29.72,24591.67
2024-01-08/2024-01-14,38.3,19857.17
2024-01-15/2024-01-21,34.1,23953.0
2024-01-22/2024-01-28,34.17,22230.83
2024-01-29/2024-02-04,19.2,58601.0
2024-02-05/2024-02-11,22.46,32157.2
2024-02-12/2024-02-18,35.5,23996.0
2024-02-19/2024-02-25,26.14,33231.0
2024-02-26/2024-03-03,24.03,28716.17
2024-03-04/2024-03-10,28.53,25115.67
2024-03-11/2024-03-17,40.92,17728.17
2024-03-18/2024-03-24,33.18,35497.6
2024-03-25/2024-03-31,23.67,28182.0
2024-04-01/2024-04-07,25.42,29966.0
2024-04-08/2024-04-14,26.95,17014.33
2024-04-15/2024-04-21,25.48,13603.33
2024-04-22/2024-04-28,28.3,9687.17
2024-04-29/2024-05-05,52.3,5063.83
2024-05-06/2024-05-12,77.28,3478.0
2024-05-13/2024-05-19,40.27,7254.5
2024-05-20/2024-05-26,33.2,7822.33
2024-05-27/2024-06-02,25.78,13140.2
2024-06-03/2024-06-09,31.73,11463.0
2024-06-10/2024-06-16,35.24,8576.2
2024-06-17/2024-06-23,49.5,5084.17
2024-06-24/2024-06-30,77.0,2309.0
2024-07-01/2024-07-07,77.0,2766.17
2024-07-08/2024-07-14,42.46,5438.6
2024-07-15/2024-07-21,64.73,3070.0
2024-07-22/2024-07-28,78.78,2367.2
2024-07-29/2024-08-04,190.87,655.17
2024-08-05/2024-08-11,258.67,618.5
2024-08-12/2024-08-18,146.2,1077.83
2024-08-19/2024-08-25,104.76,1438.4
2024-08-26/2024-09-01,139.8,1039.17
2024-09-02/2024-09-08,102.73,1640.83
2024-09-09/2024-09-15,95.12,1919.17
2024-09-16/2024-09-22,74.66,4340.0
2024-09-23/2024-09-29,63.18,7477.0
2024-09-30/2024-10-06,69.65,6917.33
2024-10-07/2024-10-13,79.2,7602.67
2024-10-14/2024-10-20,63.33,13084.5
2024-10-21/2024-10-27,63.1,14078.6
2024-10-28/2024-11-03,69.7,10057.83
2024-11-04/2024-11-10,70.62,13310.83
2024-11-11/2024-11-17,58.13,24475.33
2024-11-18/2024-11-24,64.84,21254.0
2024-11-25/2024-12-01,84.23,11197.0
2024-12-02/2024-12-08,74.32,14937.17
2024-12-09/2024-12-15,58.85,26103.5
