週,平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
2018-12-31/2019-01-06,1019.18,17.33,95.67,3.53,2.5,6.57
2019-01-07/2019-01-13,1016.19,18.63,93.14,2.61,0.0,7.28
2019-01-14/2019-01-20,1016.24,16.81,85.43,3.41,3.93,9.18
2019-01-21/2019-01-27,1018.21,14.94,72.86,3.49,0.14,12.07
2019-01-28/2019-02-03,1016.41,16.44,84.43,2.09,0.36,14.28
2019-02-04/2019-02-10,1014.44,17.01,91.86,2.74,0.0,8.4
2019-02-11/2019-02-17,1018.25,17.58,92.5,2.87,0.17,8.12
2019-02-18/2019-02-24,1014.13,17.3,94.17,2.55,10.0,5.94
2019-02-25/2019-03-03,1011.76,17.9,92.43,1.97,2.07,7.85
2019-03-04/2019-03-10,1011.37,16.09,93.43,2.66,22.36,6.85
2019-03-11/2019-03-17,1014.33,18.11,73.29,2.39,1.07,11.9
2019-03-18/2019-03-24,1011.43,19.49,86.86,2.79,0.93,10.88
2019-03-25/2019-03-31,1011.26,20.53,83.29,2.63,6.43,16.23
2019-04-01/2019-04-07,1011.86,20.56,83.0,2.46,0.6,14.66
2019-04-08/2019-04-14,1008.94,22.11,85.86,2.33,2.93,16.26
2019-04-15/2019-04-21,1007.27,21.8,86.29,1.66,11.79,13.34
2019-04-22/2019-04-28,1006.54,25.51,83.43,2.5,2.36,20.23
2019-04-29/2019-05-05,1007.93,22.0,79.5,2.58,15.33,14.34
2019-05-06/2019-05-12,1006.4,21.6,87.43,2.4,2.86,12.08
2019-05-13/2019-05-19,1003.39,26.37,88.43,2.29,57.64,15.08
2019-05-20/2019-05-26,1006.34,24.36,81.29,1.56,3.21,14.44
2019-05-27/2019-06-02,1005.13,25.37,85.0,1.8,7.14,14.34
2019-06-03/2019-06-09,1004.34,27.94,81.71,2.59,2.29,18.08
2019-06-10/2019-06-16,1000.9,24.8,86.57,1.89,34.43,12.17
2019-06-17/2019-06-23,1002.6,28.75,80.67,3.03,0.08,22.4
2019-06-24/2019-06-30,1000.51,27.56,87.14,1.43,7.57,20.16
2019-07-01/2019-07-07,1000.37,28.84,77.86,3.33,0.93,17.08
2019-07-08/2019-07-14,1001.21,29.8,74.29,4.03,0.0,22.64
2019-07-15/2019-07-21,997.85,30.0,75.83,2.8,0.08,23.38
2019-07-22/2019-07-28,1003.13,28.69,79.57,1.69,1.43,24.12
2019-07-29/2019-08-04,1001.27,29.48,77.5,1.65,0.0,25.18
2019-08-05/2019-08-11,992.84,29.39,79.86,4.1,12.93,17.44
2019-08-12/2019-08-18,998.23,28.89,79.0,3.36,2.93,21.43
2019-08-19/2019-08-25,1000.22,27.6,84.83,2.1,2.75,15.62
2019-08-26/2019-09-01,1003.68,28.37,84.0,1.23,26.67,21.19
2019-09-02/2019-09-08,1000.7,27.73,83.29,1.47,5.07,20.89
2019-09-09/2019-09-15,1004.11,28.16,79.43,2.16,2.5,21.57
2019-09-16/2019-09-22,1005.12,23.98,81.17,2.62,3.75,9.33
2019-09-23/2019-09-29,1011.17,24.97,80.71,2.99,5.93,17.82
2019-09-30/2019-10-06,1006.43,26.49,81.71,2.69,7.07,19.12
2019-10-07/2019-10-13,1009.71,25.67,75.43,2.54,0.0,21.75
2019-10-14/2019-10-20,1014.1,23.13,70.86,3.41,0.21,17.26
2019-10-21/2019-10-27,1010.93,23.2,71.71,2.53,0.0,16.66
2019-10-28/2019-11-03,1011.01,22.9,81.43,3.5,0.29,11.7
2019-11-04/2019-11-10,1010.64,21.7,68.71,3.7,0.07,15.22
2019-11-11/2019-11-17,1012.23,20.73,73.0,2.2,0.0,17.12
2019-11-18/2019-11-24,1013.17,20.36,85.14,3.66,2.93,10.32
2019-11-25/2019-12-01,1016.41,19.64,80.57,3.51,0.07,13.21
2019-12-02/2019-12-08,1019.64,15.17,76.0,4.21,16.71,8.05
2019-12-09/2019-12-15,1016.82,18.76,75.0,2.5,0.0,15.17
2019-12-16/2019-12-22,1014.31,18.56,90.0,2.11,0.57,6.98
2019-12-23/2019-12-29,1014.29,17.91,85.0,2.29,5.29,8.54
2019-12-30/2020-01-05,1018.99,17.26,86.14,2.39,3.64,11.47
2020-01-06/2020-01-12,1013.89,17.33,84.71,2.06,0.14,11.46
2020-01-13/2020-01-19,1015.77,15.69,83.57,2.77,0.29,8.65
2020-01-20/2020-01-26,1015.23,17.23,87.29,2.13,5.36,9.63
2020-01-27/2020-02-02,1016.67,12.69,71.71,2.3,0.29,12.03
2020-02-03/2020-02-09,1018.47,15.71,82.57,3.04,0.93,7.43
2020-02-10/2020-02-16,1014.9,17.43,84.0,1.82,7.75,11.69
2020-02-17/2020-02-23,1021.54,15.5,76.86,3.16,0.0,16.48
2020-02-24/2020-03-01,1013.83,19.31,86.0,1.93,0.0,16.37
2020-03-02/2020-03-08,1013.41,17.97,84.0,2.7,1.36,12.42
2020-03-09/2020-03-15,1012.09,17.76,82.71,2.51,14.57,9.74
2020-03-16/2020-03-22,1012.11,20.26,81.0,1.89,1.21,14.58
2020-03-23/2020-03-29,1010.9,20.77,86.14,2.27,3.64,13.26
2020-03-30/2020-04-05,1013.24,18.09,86.29,2.59,5.64,6.29
2020-04-06/2020-04-12,1012.64,18.29,80.0,2.39,4.5,11.2
2020-04-13/2020-04-19,1011.27,20.44,73.14,1.84,0.0,21.48
2020-04-20/2020-04-26,1011.89,20.24,83.57,2.79,1.5,10.59
2020-04-27/2020-05-03,1009.36,23.76,76.29,2.27,0.0,21.92
2020-05-04/2020-05-10,1004.91,26.87,81.0,2.87,2.29,20.2
2020-05-11/2020-05-17,1005.69,25.84,79.29,2.0,2.5,21.19
2020-05-18/2020-05-24,1002.44,24.3,90.29,1.97,33.86,9.08
2020-05-25/2020-05-31,1006.17,26.0,86.29,2.36,9.93,16.79
2020-06-01/2020-06-07,1004.19,27.9,80.57,3.6,4.64,18.15
2020-06-08/2020-06-14,1004.69,27.46,82.57,1.93,1.29,17.63
2020-06-15/2020-06-21,1003.96,29.1,75.14,4.5,0.0,27.51
2020-06-22/2020-06-28,1002.84,29.66,74.29,4.11,0.0,26.34
2020-06-29/2020-07-05,1002.9,29.27,77.0,3.51,0.43,24.77
2020-07-06/2020-07-12,1002.77,29.97,72.57,4.33,0.0,21.43
2020-07-13/2020-07-19,1002.74,30.07,73.29,3.71,0.79,24.58
2020-07-20/2020-07-26,1004.93,29.63,76.71,2.19,0.64,25.18
2020-07-27/2020-08-02,1003.49,29.69,76.0,1.66,0.0,20.97
2020-08-03/2020-08-09,1003.11,28.94,79.14,2.2,5.64,20.32
2020-08-10/2020-08-16,1005.97,28.03,82.71,1.53,8.0,19.19
2020-08-17/2020-08-23,1003.24,29.14,76.71,1.87,4.21,23.22
2020-08-24/2020-08-30,999.19,29.34,77.0,3.46,0.07,21.61
2020-08-31/2020-09-06,1002.21,27.77,79.43,2.24,3.36,20.65
2020-09-07/2020-09-13,1005.96,27.76,78.0,1.49,0.0,18.36
2020-09-14/2020-09-20,1006.81,28.01,84.71,1.64,6.36,20.58
2020-09-21/2020-09-27,1007.06,24.36,81.57,2.3,6.21,13.75
2020-09-28/2020-10-04,1006.01,24.1,82.71,1.97,1.36,16.16
2020-10-05/2020-10-11,1009.73,23.6,79.57,3.64,0.71,13.76
2020-10-12/2020-10-18,1009.87,24.56,81.29,4.56,0.14,17.15
2020-10-19/2020-10-25,1009.39,22.29,80.29,4.69,1.79,12.75
2020-10-26/2020-11-01,1011.47,23.86,71.86,3.91,0.0,17.99
2020-11-02/2020-11-08,1011.93,22.31,78.71,4.1,0.43,11.75
2020-11-09/2020-11-15,1014.87,21.69,73.57,4.89,2.0,13.82
2020-11-16/2020-11-22,1010.6,23.7,80.29,2.1,0.0,14.63
2020-11-23/2020-11-29,1015.66,21.63,76.86,4.27,0.0,13.55
2020-11-30/2020-12-06,1016.77,17.97,82.14,5.07,1.71,7.44
2020-12-07/2020-12-13,1013.09,18.8,89.71,3.51,3.86,5.39
2020-12-14/2020-12-20,1017.84,15.91,87.86,4.44,2.07,5.45
2020-12-21/2020-12-27,1014.01,17.8,85.71,3.11,3.43,8.37
2020-12-28/2021-01-03,1017.46,14.79,74.86,3.73,0.21,9.54
2021-01-04/2021-01-10,1018.47,11.96,82.86,4.0,3.57,4.71
2021-01-11/2021-01-17,1016.2,12.76,75.29,2.96,1.57,12.84
2021-01-18/2021-01-24,1012.73,17.51,78.29,2.77,0.0,13.79
2021-01-25/2021-01-31,1016.24,15.87,76.14,2.81,0.0,11.49
2021-02-01/2021-02-07,1015.57,16.91,77.14,2.33,0.0,17.38
2021-02-08/2021-02-14,1011.37,17.84,84.0,3.17,8.43,11.08
2021-02-15/2021-02-21,1015.94,15.81,71.0,2.93,0.0,19.42
2021-02-22/2021-02-28,1010.09,17.4,84.0,2.5,0.57,12.04
2021-03-01/2021-03-07,1014.73,16.66,89.29,2.61,10.43,6.53
2021-03-08/2021-03-14,1015.57,18.21,81.0,3.1,0.0,16.49
2021-03-15/2021-03-21,1010.34,18.41,84.86,2.01,0.0,12.68
2021-03-22/2021-03-28,1012.41,17.5,83.43,2.64,5.79,12.23
2021-03-29/2021-04-04,1005.84,22.79,86.57,2.14,0.0,13.2
2021-04-05/2021-04-11,1013.83,18.59,77.14,3.04,0.36,14.28
2021-04-12/2021-04-18,1011.16,20.86,76.71,3.09,0.14,14.27
2021-04-19/2021-04-25,1006.54,23.59,73.29,2.84,0.21,18.85
2021-04-26/2021-05-02,1009.53,22.63,81.43,2.06,7.57,16.41
2021-05-03/2021-05-09,1008.47,24.51,83.14,2.26,0.21,16.37
2021-05-10/2021-05-16,1004.96,27.56,79.86,3.04,0.0,24.89
2021-05-17/2021-05-23,1004.86,28.09,80.43,2.54,0.0,20.46
2021-05-24/2021-05-30,1004.21,27.51,81.71,3.51,4.36,19.65
2021-05-31/2021-06-06,1002.04,26.04,89.86,2.33,20.0,13.06
2021-06-07/2021-06-13,1005.16,27.94,81.43,1.9,0.07,25.4
2021-06-14/2021-06-20,1000.16,29.67,75.86,6.73,0.0,26.76
2021-06-21/2021-06-27,1001.76,26.7,85.86,3.47,10.86,15.06
2021-06-28/2021-07-04,1002.29,28.7,78.14,5.14,0.5,24.21
2021-07-05/2021-07-11,1006.13,29.0,79.0,2.36,0.0,25.03
2021-07-12/2021-07-18,1004.06,29.27,75.86,1.97,0.0,22.16
2021-07-19/2021-07-25,994.94,28.87,78.86,4.81,11.86,19.76
2021-07-26/2021-08-01,994.56,29.39,78.14,3.71,0.21,22.87
2021-08-02/2021-08-08,995.54,26.76,89.43,2.2,32.07,12.03
2021-08-09/2021-08-15,1004.19,28.49,79.14,3.07,0.0,24.35
2021-08-16/2021-08-22,1005.63,28.39,79.0,2.09,0.0,22.92
2021-08-23/2021-08-29,1006.2,28.77,77.86,2.19,0.0,23.35
2021-08-30/2021-09-05,1005.59,28.89,78.57,1.77,0.0,22.06
2021-09-06/2021-09-12,1002.16,29.27,74.14,2.77,1.57,21.0
2021-09-13/2021-09-19,1005.87,28.93,77.57,2.64,0.0,23.13
2021-09-20/2021-09-26,1007.89,29.01,72.71,3.01,0.0,23.36
2021-09-27/2021-10-03,1005.59,27.93,73.71,2.73,0.0,23.18
2021-10-04/2021-10-10,1004.84,29.46,62.86,4.41,0.0,22.58
2021-10-11/2021-10-17,1005.33,26.54,78.0,5.49,9.07,13.24
2021-10-18/2021-10-24,1013.84,21.34,83.86,4.86,7.07,9.22
2021-10-25/2021-10-31,1013.89,22.63,74.14,4.66,0.0,15.62
2021-11-01/2021-11-07,1010.77,23.27,79.43,3.31,0.0,12.88
2021-11-08/2021-11-14,1014.41,17.99,73.14,4.61,1.86,11.74
2021-11-15/2021-11-21,1010.39,21.99,81.29,3.37,2.86,12.14
2021-11-22/2021-11-28,1015.11,18.29,81.14,5.5,2.43,6.3
2021-11-29/2021-12-05,1015.99,17.74,68.57,4.84,0.0,15.16
2021-12-06/2021-12-12,1016.79,19.37,78.43,5.79,2.86,12.71
2021-12-13/2021-12-19,1016.04,18.03,77.0,4.93,0.36,13.22
2021-12-20/2021-12-26,1015.36,16.56,88.29,4.3,8.93,3.47
2021-12-27/2022-01-02,1020.86,15.63,80.43,4.5,0.43,9.97
2022-01-03/2022-01-09,1016.2,16.86,80.43,4.77,1.36,10.38
2022-01-10/2022-01-16,1016.67,14.57,78.14,4.09,0.64,8.56
2022-01-17/2022-01-23,1013.34,16.63,88.29,5.1,7.57,6.62
2022-01-24/2022-01-30,1012.66,16.74,89.29,4.87,1.71,8.17
2022-01-31/2022-02-06,1016.7,14.56,85.14,5.26,6.07,6.71
2022-02-07/2022-02-13,1013.69,15.86,89.57,3.64,4.71,5.12
2022-02-14/2022-02-20,1014.01,14.41,86.57,5.97,12.29,5.74
2022-02-21/2022-02-27,1018.5,14.67,86.71,5.51,11.86,9.1
2022-02-28/2022-03-06,1012.11,19.54,79.57,2.99,0.0,17.19
2022-03-07/2022-03-13,1011.56,17.41,80.14,2.41,4.71,21.16
2022-03-14/2022-03-20,1007.13,21.04,83.71,2.24,0.29,17.07
2022-03-21/2022-03-27,1010.01,18.63,90.14,3.59,15.5,7.24
2022-03-28/2022-04-03,1015.89,17.06,87.14,5.56,12.14,7.78
2022-04-04/2022-04-10,1012.11,21.1,73.43,4.03,0.0,24.55
2022-04-11/2022-04-17,1007.73,20.86,81.57,3.54,0.86,14.66
2022-04-18/2022-04-24,1009.89,22.01,84.0,2.09,1.86,14.91
2022-04-25/2022-05-01,1007.61,23.84,87.0,3.26,0.93,15.16
2022-05-02/2022-05-08,1009.47,21.66,84.86,4.37,2.71,13.83
2022-05-09/2022-05-15,1006.26,22.63,91.14,2.94,3.0,10.95
2022-05-16/2022-05-22,1007.07,21.6,86.43,4.07,4.36,14.26
2022-05-23/2022-05-29,1003.77,23.57,94.29,2.47,48.93,10.26
2022-05-30/2022-06-05,1001.59,27.81,82.86,4.24,0.29,22.65
2022-06-06/2022-06-12,1002.17,24.59,91.86,2.9,32.5,8.34
2022-06-13/2022-06-19,1003.0,26.83,85.43,3.4,3.36,16.62
2022-06-20/2022-06-26,1003.86,27.96,80.57,2.53,0.79,24.43
2022-06-27/2022-07-03,1001.17,28.34,82.14,1.71,2.64,22.3
2022-07-04/2022-07-10,1002.27,28.67,81.14,2.54,1.36,25.18
2022-07-11/2022-07-17,1000.74,29.84,74.14,3.73,0.21,24.39
2022-07-18/2022-07-24,1003.73,30.03,76.29,3.49,0.0,26.82
2022-07-25/2022-07-31,1001.1,29.49,78.57,1.81,3.64,25.18
2022-08-01/2022-08-07,1003.44,28.86,77.71,1.71,6.43,21.94
2022-08-08/2022-08-14,1003.31,29.33,77.86,1.77,0.0,24.16
2022-08-15/2022-08-21,1002.57,29.14,80.0,2.09,0.07,21.6
2022-08-22/2022-08-28,1002.73,29.63,78.0,2.24,0.14,23.36
2022-08-29/2022-09-04,998.94,27.97,82.43,4.4,7.93,13.37
2022-09-05/2022-09-11,1005.31,27.03,74.0,4.04,0.36,18.01
2022-09-12/2022-09-18,1000.11,27.1,77.86,2.57,2.07,20.36
2022-09-19/2022-09-25,1006.23,25.47,71.71,4.64,0.07,15.85
2022-09-26/2022-10-02,1006.6,27.64,78.0,2.39,0.0,21.74
2022-10-03/2022-10-09,1010.56,26.27,78.43,4.69,0.0,17.24
2022-10-10/2022-10-16,1009.24,22.83,79.43,6.94,12.86,9.9
2022-10-17/2022-10-23,1011.49,22.3,80.71,6.91,4.07,12.61
2022-10-24/2022-10-30,1011.09,23.06,70.71,6.96,0.14,16.07
2022-10-31/2022-11-06,1010.63,21.47,84.29,6.73,10.21,12.8
2022-11-07/2022-11-13,1011.33,23.89,83.86,3.1,0.0,14.34
2022-11-14/2022-11-20,1010.97,22.99,85.86,3.56,0.0,11.93
2022-11-21/2022-11-27,1010.54,21.99,88.86,3.17,14.36,8.46
2022-11-28/2022-12-04,1013.04,20.47,89.71,5.01,1.43,9.22
2022-12-05/2022-12-11,1012.76,17.64,89.43,5.44,6.21,4.88
2022-12-12/2022-12-18,1015.98,14.34,82.4,7.0,3.2,6.62
2022-12-19/2022-12-25,1015.26,13.69,63.86,3.86,0.0,15.19
2022-12-26/2023-01-01,1018.6,16.47,78.29,6.27,0.0,9.67
2023-01-02/2023-01-08,1017.89,17.67,79.43,5.49,0.43,9.07
2023-01-09/2023-01-15,1011.61,18.2,90.57,3.1,0.36,9.35
2023-01-16/2023-01-22,1017.14,14.6,83.57,5.1,0.86,7.83
2023-01-23/2023-01-29,1018.5,12.13,70.43,5.13,0.5,8.75
2023-01-30/2023-02-05,1014.37,15.3,79.43,3.83,4.29,10.69
2023-02-06/2023-02-12,1012.04,15.91,94.86,2.76,3.57,7.29
2023-02-13/2023-02-19,1016.59,14.71,81.14,4.91,0.21,12.64
2023-02-20/2023-02-26,1018.89,14.17,77.57,7.66,0.07,7.42
2023-02-27/2023-03-05,1020.16,16.07,70.0,4.43,0.0,19.0
2023-03-06/2023-03-12,1014.91,18.49,69.0,2.74,0.0,21.4
2023-03-13/2023-03-19,1013.41,18.19,80.71,3.79,0.0,13.62
2023-03-20/2023-03-26,1007.87,20.77,84.71,3.81,3.43,12.83
2023-03-27/2023-04-02,1010.91,18.34,87.14,3.74,1.71,7.53
2023-04-03/2023-04-09,1008.5,18.0,78.0,2.3,0.0,0.01
2023-04-10/2023-04-16,1005.92,22.6,82.25,1.82,0.38,17.02
2023-04-17/2023-04-23,1006.03,22.61,83.86,2.71,18.5,13.1
2023-04-24/2023-04-30,1009.86,21.11,83.14,3.33,0.71,12.88
2023-05-01/2023-05-07,1005.87,24.71,80.86,2.6,5.29,19.1
2023-05-08/2023-05-14,1009.33,21.73,80.0,2.79,3.93,12.2
2023-05-15/2023-05-21,1005.0,25.1,83.14,2.31,41.29,16.32
2023-05-22/2023-05-28,1006.44,25.21,82.0,2.56,14.64,20.17
2023-05-29/2023-06-04,1000.61,27.73,83.43,3.7,0.79,20.33
2023-06-05/2023-06-11,1002.56,27.87,83.57,1.93,2.36,21.71
2023-06-12/2023-06-18,1002.86,26.66,86.43,1.99,6.21,15.98
2023-06-19/2023-06-25,1003.71,28.51,81.29,3.29,2.57,22.46
2023-06-26/2023-07-02,1005.26,29.04,79.43,1.86,0.0,23.41
2023-07-03/2023-07-09,1003.96,29.91,72.86,5.11,0.0,27.9
2023-07-10/2023-07-16,1001.53,29.89,74.71,1.86,0.0,26.03
2023-07-17/2023-07-23,1005.04,29.56,77.29,1.74,0.71,23.21
2023-07-24/2023-07-30,998.87,28.86,77.57,2.94,1.36,15.06
2023-07-31/2023-08-06,997.51,28.46,83.14,4.94,3.67,16.18
2023-08-07/2023-08-13,999.2,29.0,79.29,3.77,0.0,21.72
2023-08-14/2023-08-20,1001.91,28.21,80.86,2.87,13.21,19.25
2023-08-21/2023-08-27,1002.09,29.29,77.0,1.74,0.0,24.56
2023-08-28/2023-09-03,997.36,29.57,75.29,4.86,0.86,20.25
2023-09-04/2023-09-10,1002.36,27.01,79.86,2.66,7.86,14.44
2023-09-11/2023-09-17,1005.36,27.39,79.71,1.39,0.0,23.14
2023-09-18/2023-09-24,1006.23,28.79,77.14,2.24,0.0,20.17
2023-09-25/2023-10-01,1005.93,28.91,73.57,4.46,0.21,23.4
2023-10-02/2023-10-08,1004.91,25.63,86.0,5.39,7.64,9.86
2023-10-09/2023-10-15,1011.26,24.23,76.86,4.81,0.5,15.79
2023-10-16/2023-10-22,1012.51,24.17,73.43,3.97,1.07,14.94
2023-10-23/2023-10-29,1011.11,23.99,77.71,3.0,0.79,13.47
2023-10-30/2023-11-05,1011.26,23.94,80.71,2.71,0.0,18.59
2023-11-06/2023-11-12,1013.27,23.24,77.57,4.33,0.07,15.11
2023-11-13/2023-11-19,1018.34,18.36,71.57,4.7,0.64,12.48
2023-11-20/2023-11-26,1014.06,20.27,73.43,4.49,0.0,16.41
2023-11-27/2023-12-03,1016.01,19.73,75.14,5.3,0.14,10.0
2023-12-04/2023-12-10,1011.81,19.34,86.43,1.93,7.93,10.01
2023-12-11/2023-12-17,1015.34,19.77,83.14,4.39,0.43,10.86
2023-12-18/2023-12-24,1021.81,14.34,81.43,6.11,2.29,5.78
2023-12-25/2023-12-31,1017.97,17.66,80.29,4.09,0.93,9.84
2024-01-01/2024-01-07,1016.5,16.24,74.0,4.09,0.0,12.73
2024-01-08/2024-01-14,1015.47,16.46,73.29,3.3,0.64,14.14
2024-01-15/2024-01-21,1015.73,17.46,84.57,4.14,0.64,10.44
2024-01-22/2024-01-28,1023.29,11.31,80.29,5.16,4.14,3.76
2024-01-29/2024-02-04,1016.11,18.06,90.29,2.77,0.29,11.52
2024-02-05/2024-02-11,1018.23,13.9,82.0,4.54,9.57,7.31
2024-02-12/2024-02-18,1016.66,16.73,76.57,2.31,0.0,16.69
2024-02-19/2024-02-25,1015.07,18.64,86.14,3.59,0.0,11.61
2024-02-26/2024-03-03,1016.89,13.46,88.14,4.16,2.36,5.73
2024-03-04/2024-03-10,1012.73,16.41,74.57,4.53,2.79,9.75
2024-03-11/2024-03-17,1014.47,17.84,82.43,2.14,3.64,12.75
2024-03-18/2024-03-24,1013.49,19.47,74.43,3.2,0.36,17.18
2024-03-25/2024-03-31,1010.41,23.04,82.71,3.0,7.14,15.71
2024-04-01/2024-04-07,1008.23,23.76,83.86,3.07,3.29,16.1
2024-04-08/2024-04-14,1009.97,22.6,87.14,2.19,1.71,10.01
2024-04-15/2024-04-21,1006.14,25.2,84.14,2.2,1.5,16.73
2024-04-22/2024-04-28,1004.69,24.21,88.29,2.0,16.21,8.95
2024-04-29/2024-05-05,1006.21,24.37,84.43,2.9,5.5,16.57
2024-05-06/2024-05-12,1009.6,24.81,75.86,2.81,2.0,23.24
2024-05-13/2024-05-19,1008.46,22.67,75.43,3.17,2.14,20.87
2024-05-20/2024-05-26,1005.93,25.24,90.71,1.47,2.0,9.37
2024-05-27/2024-06-02,1003.37,25.51,85.86,3.16,15.07,14.25
2024-06-03/2024-06-09,1005.71,23.96,89.57,1.67,9.14,10.33
2024-06-10/2024-06-16,1001.87,28.84,79.43,4.93,1.71,17.41
2024-06-17/2024-06-23,1002.87,29.44,82.43,2.74,0.5,23.14
2024-06-24/2024-06-30,1006.01,29.7,76.71,2.47,1.29,26.54
2024-07-01/2024-07-07,1005.83,30.09,75.71,2.06,0.07,24.89
2024-07-08/2024-07-14,1003.57,29.93,72.43,2.57,0.0,27.13
2024-07-15/2024-07-21,1005.4,30.51,74.57,1.74,0.0,25.0
2024-07-22/2024-07-28,993.19,29.17,81.57,3.47,22.6,16.68
2024-07-29/2024-08-04,1003.84,29.44,80.71,2.23,0.42,25.12
2024-08-05/2024-08-11,1000.86,29.37,78.71,1.83,0.43,24.61
2024-08-12/2024-08-18,1001.89,28.69,81.57,1.9,6.86,17.51
2024-08-19/2024-08-25,1004.5,28.93,76.29,2.61,0.07,22.52
2024-08-26/2024-09-01,1002.16,29.54,80.29,2.09,0.0,24.39
2024-09-02/2024-09-08,1001.28,30.32,72.17,2.32,0.25,22.83
2024-09-09/2024-09-15,1000.74,28.57,78.57,2.57,2.71,21.26
2024-09-16/2024-09-22,1000.37,28.54,83.14,3.01,34.57,16.85
2024-09-23/2024-09-29,1005.84,27.33,86.14,2.77,5.29,15.19
2024-09-30/2024-10-06,1003.81,26.19,84.86,5.51,3.29,12.97
2024-10-07/2024-10-13,1009.59,24.96,78.71,4.27,3.36,17.32
2024-10-14/2024-10-20,1009.7,26.7,82.43,3.66,0.14,18.77
2024-10-21/2024-10-27,1005.86,24.74,86.71,5.47,2.14,11.4
2024-10-28/2024-11-03,1007.73,23.12,85.5,5.85,4.83,9.14
2024-11-04/2024-11-10,1013.3,22.3,81.14,6.13,0.43,10.01
2024-11-11/2024-11-17,1007.76,23.7,91.43,4.33,1.71,9.17
2024-11-18/2024-11-24,1014.88,20.18,81.83,6.88,2.33,9.48
2024-11-25/2024-12-01,1015.6,18.4,83.0,4.2,1.0,5.1
